1,1
2,15
3,24
4,29
5,29
6,30
7,32
8,32
9,38
10,38
11,38
12,44
13,48
14,52
15,53
16,56
17,59
18,67
19,70
20,73
21,78
22,85
23,85
24,86
25,87
26,87
27,87
28,88
29,93
30,96
31,97
32,99
33,114
34,116
35,122
36,123
37,126
38,127
39,131
40,133
41,136
42,136
43,137
44,141
45,145
46,165
47,169
48,169
49,174
50,176
51,178
52,183
53,184
54,188
55,194
56,230
57,253
58,256
59,270
60,277
61,284
62,286
63,296
64,304
65,319
66,326
67,330
68,334
69,335
70,340
71,342
72,349
73,353
74,367
75,373
76,377
77,386
78,400
79,402
80,416
81,419
82,421
83,422
84,436
85,437
86,439
87,441
88,452
89,463
90,468
91,471
92,485
93,488
94,491
95,499
96,503
97,503
98,509
99,551
100,567
101,584
102,604
103,638
104,648
105,703
106,756
107,759
108,765
109,778
110,788
111,818
112,823
113,843
114,867
115,875
116,955
117,958
118,964
119,973
120,973
121,987
122,991
123,993
124,998
125,1019
126,1052
127,1063
128,1074
129,1078
130,1110
131,1122
132,1133
133,1142
134,1154
135,1181
136,1205
137,1234
138,1298
139,1299
140,1301
141,1375
142,1395
143,1467
144,1490
145,1532
146,1558
147,1684
148,1686
149,1693
150,1743
151,1785
152,1843
153,1857
154,1905
155,1939
156,1957
157,2011
158,2049
159,2089
160,2167
161,2292
162,2318
163,2321
164,2330
165,2430
166,2643
167,2663
168,2741
169,2876
170,3021
171,3040
172,3150
173,3217
174,3344
175,3349
176,3390
177,3486
178,3711
179,3874
180,3964
181,4207
182,4257
183,4368
184,4487
185,4519
186,4570
187,4778
188,4993
189,4996
190,6317
191,8601
192,9820
193,23093
194,29607
195,43861
196,45053
197,97059
