1,1
2,20
3,40
4,48
5,51
6,55
7,68
8,76
9,85
10,94
11,98
12,108
13,122
14,127
15,135
16,139
17,146
18,155
19,167
20,191
21,195
22,205
23,210
24,225
25,238
26,253
27,256
28,261
29,266
30,266
31,267
32,283
33,287
34,290
35,311
36,320
37,322
38,323
39,325
40,339
41,341
42,348
43,356
44,357
45,360
46,361
47,383
48,389
49,393
50,395
51,397
52,431
53,434
54,450
55,451
56,457
57,467
58,474
59,482
60,486
61,495
62,510
63,536
64,537
65,542
66,561
67,571
68,577
69,579
70,591
71,595
72,627
73,633
74,635
75,643
76,654
77,693
78,705
79,707
80,708
81,748
82,758
83,776
84,821
85,827
86,851
87,907
88,916
89,949
90,984
91,993
92,1145
93,1250
94,1427
95,1446
96,1559
97,1757
98,1931
99,2143
100,3955
