1,0
2,1
3,1
4,1
5,5
6,11
7,36
8,48
9,73
10,74
11,86
12,97
13,116
14,122
15,141
16,142
17,165
18,183
19,184
20,188
21,253
22,271
23,284
24,286
25,296
26,304
27,313
28,342
29,368
30,377
31,402
32,419
33,421
34,437
35,441
36,452
37,463
38,499
39,503
40,503
41,503
42,556
43,582
44,604
45,662
46,756
47,759
48,778
49,818
50,823
51,895
52,898
53,955
54,958
55,975
56,991
56,1057
58,1059
59,1063
60,1133
61,1299
62,1301
61,1555
64,1684
65,1686
66,1693
67,1857
68,2089
69,2330
70,2727
71,2741
72,3150
73,3282
74,3344
75,3874
76,4519
77,6317
78,9880
